x,y,z
-912,336,-247
-912,336,-247
-878,299,-247
-878,299,-199
-872,299,-199
-872,260,-192
-872,260,-192
-834,232,-192
-834,232,-217
-820,232,-217
-820,223,-205
-820,223,-205
-799,265,-193
-799,265,-193
-789,308,-193
-789,308,-222
-780,308,-222
-774,333,-194
-774,333,-192
-741,333,-192
-731,379,-257
-731,379,-257
-747,442,-257
-747,442,-266
-760,483,-251
-760,483,-251
-755,486,-251
-755,486,-245
-722,478,-271
-722,478,-271
-700,482,-285
-700,482,-285
-701,514,-282
-680,514,-282
-680,540,-273
-680,540,-273
-663,562,-264
-673,562,-264
-673,652,-292
-673,652,-292
-671,667,-323
-671,667,-323
-648,647,-323
-648,647,-345
-644,647,-301
-644,647,-301
-650,674,-270
-650,674,-270
-668,698,-262
-668,698,-262
-638,680,-297
-638,680,-297
-620,587,-265
-640,587,-265
-640,574,-210
-640,574,-210
-655,586,-187
-644,606,-187
-644,606,-192
-649,606,-192
-649,597,-205
-648,608,-205
-648,608,-223
-647,608,-223
-647,627,-236
-627,656,-291
-627,656,-291
-635,664,-291
-635,664,-264
-622,664,-264
-622,675,-315
-622,675,-315
-610,615,-302
-647,615,-302
-647,599,-208
-647,599,-208
-660,562,-231
-660,539,-231
-660,539,-168
-692,539,-168
-692,619,-117
-706,635,-117
-706,635,-97
-706,635,-97
-706,604,-93
-716,558,-52
-716,558,-52
-716,570,-52
-691,570,-55
-691,488,-18
-691,488,-18
-1382,-141,3103
-566,-141,3103
-566,2052,-742
-566,2052,-742
-849,816,-231
-369,80,-231
-369,80,-1205
-958,80,-1205
-958,-321,-1894
-958,-321,-1894
-1358,2330,-1894
-1358,2330,-775
-1115,991,-775
-659,991,-1174
-659,51,-858
-659,51,-858
-493,-119,-858
-383,-119,-922
-383,-65,-899
-383,-65,-899
-28,-219,-634
-177,161,-634
-177,161,-218
-304,161,-218
-304,527,-209
-114,462,-209
-114,462,-236
-53,462,-236
-53,675,-299
-307,889,-315
-307,889,-315
-343,528,-315
-343,528,-549
-553,433,-824
-553,433,-824
-900,720,-824
-900,720,-892
-889,596,-807
-889,596,-807
-802,512,-681
-802,512,-681
-705,374,-681
-705,374,-661
-524,374,-661
-524,488,-529
-569,399,-529
-569,399,-489
-485,399,-489
-485,397,-432
-550,440,-433
-550,440,-433
-570,457,-433
-570,457,-456
-693,823,-471
-693,823,-471
-721,548,-471
-721,548,-433
-510,601,-668
-510,601,-668
-620,-135,-436
-620,-135,-436
-1158,147,-827
-624,147,-827
-624,307,-381
-624,307,-381
-754,215,-235
-723,210,-235
-723,210,-47
-724,210,-47
-724,225,1
-764,180,1
-764,180,-110
-723,180,-110
-723,157,-167
-723,157,-167
-762,210,-206
-762,210,-206
-789,304,-200
-825,304,-200
-825,259,-237
-825,259,-237
-861,238,-239
-900,238,-239
-900,249,-270
-900,249,-270
-954,290,-303
-995,238,-303
-995,238,-317
-1000,238,-317
-1000,215,-311
-1030,168,-311
-1030,168,-332
-1094,168,-332
-1094,159,-324
-1133,147,-307
-1133,147,-307
-1160,142,-307
-1190,142,-299
-1190,143,-284
-1190,143,-284
-1149,90,-326
-1149,90,-326
-1094,90,-326
-1094,67,-377
-1051,67,-377
-1051,6,-387
-1031,-42,-387
-1031,-42,-377
-1038,-42,-377
-1038,-52,-358
-1056,-47,-363
-1056,-47,-363
-1056,-49,-363
-1033,-49,-328
-1033,-41,-338
-1033,-41,-338
-994,-52,-338
-935,-52,-319
-935,-45,-306
-935,-45,-306
-922,-45,-281
-927,-40,-281
-927,-40,-214
-964,-40,-214
-964,-57,-151
-998,-72,-151
-998,-72,-92
-995,-72,-92
-995,-118,-68
-997,-168,-34
-997,-168,-34
-961,-165,-34
-961,-165,-45
-934,-165,-45
-934,-181,2
-934,-181,2
-977,-157,2
-967,-157,79
-967,-160,28
-967,-160,28
-895,-67,50
-922,-105,50
-922,-105,67
-928,-105,67
-928,-42,84
-922,-15,84
-922,-15,68
-946,-15,68
-946,6,69
-960,74,28
-960,74,28
-956,78,28
-956,78,25
-974,49,34
-974,49,34
-953,-4,34
-953,-4,41
-930,-20,-7
-930,-20,-7
-931,9,-6
-943,14,0
-953,14,0
-953,2,-8
-953,2,-8
-976,19,-9
-976,19,-9
-1041,-4,-9
-1041,-4,18
-1110,-149,117
-1110,-149,117
-1060,-20,117
-1060,-20,-15
-981,-83,-84
-981,-83,-84
-923,29,-59
-923,29,-59
-988,-59,-28
-1002,-59,-28
-1002,-60,-30
-1002,-60,-30
-1002,-89,-80
-952,-89,-80
-952,-136,-125
-952,-136,-125
-923,-109,-125
-900,-77,-125
-891,-84,-113
-958,-113,-109
-958,-115,-124
-958,-115,-124
-974,-106,-157
-972,-106,-157
-972,-76,-172
-972,-76,-172
-969,-50,-177
-946,-76,-177
-946,-76,-193
-918,-76,-193
-918,-105,-184
-919,-106,-184
-919,-106,-171
-912,-106,-171
-912,-133,-156
-916,-123,-148
-916,-123,-148
-929,-95,-148
-934,-95,-149
-934,-91,-155
-934,-91,-155
-937,-71,-155
-949,-92,-153
-981,-23,-187
-974,-49,-195
-977,-44,-231
-977,-44,-231
-961,-75,-231
-941,-75,-248
-941,-126,-229
-941,-126,-229
-935,-160,-229
-922,-160,-222
-922,-158,-175
-922,-158,-175
-907,-138,-171
-894,-111,-171
-927,-123,-207
-927,-123,-207
-958,-171,-207
-956,-174,-190
-949,-101,-218
-949,-101,-218
-948,-94,-212
-948,-94,-212
-948,-127,-204
-946,-127,-204
-946,-140,-251
-946,-140,-251
-940,-145,-251
-940,-145,-273
-932,-145,-273
-932,-193,-250
-906,-190,-265
-906,-190,-265
-895,-142,-265
-895,-142,-261
-889,-142,-247
-889,-142,-247
-894,-164,-247
-894,-164,-251
-922,-197,-254
-922,-197,-254
-933,-211,-263
-933,-211,-263
-922,-205,-275
