x,y,z
-944,156,-133
-944,154,-133
-944,154,-132
-947,154,-132
-947,157,-133
-947,157,-133
-951,161,-133
-951,161,-132
-946,163,-132
-946,163,-133
-948,163,-133
-948,174,-137
-948,174,-137
-950,181,-136
-950,181,-136
-946,180,-136
-946,180,-131
-955,180,-131
-955,171,-131
-955,171,-131
-951,171,-126
-951,171,-126
-947,171,-126
-945,171,-128
-945,171,-134
-945,171,-134
-951,165,-139
-950,160,-139
-950,160,-136
-951,160,-136
-951,156,-140
-948,166,-146
-948,166,-146
-936,158,-146
-936,158,-139
-939,163,-135
-939,163,-135
-939,161,-125
-939,161,-125
-941,177,-114
-940,177,-114
-940,177,-108
-940,177,-108
-953,178,-97
-953,178,-97
-953,171,-97
-953,171,-85
-972,142,-63
-972,142,-63
-980,159,-43
-980,159,-43
-980,171,-16
-984,171,-16
-984,207,52
-984,207,52
-952,346,43
-999,459,43
-999,459,-37
-1048,459,-37
-1048,549,-5
-1048,501,61
-1048,501,61
-1024,522,61
-1018,522,45
-1018,528,-25
-1018,528,-25
-1023,542,-53
-1006,600,-53
-1006,600,-99
-998,600,-99
-998,574,-121
-998,574,-121
-938,464,-149
-938,464,-149
-902,452,-210
-902,518,-267
-902,518,-267
-808,518,-271
-808,518,-296
-790,518,-296
-790,498,-339
-748,485,-341
-748,485,-341
-728,499,-341
-728,499,-283
-590,500,-302
-565,500,-302
-565,556,-239
-527,556,-239
-527,520,-273
-496,528,-273
-496,528,-284
-501,528,-284
-501,526,-281
-475,624,-170
-475,624,-170
-428,575,-170
-428,575,-233
-416,575,-233
-416,528,-387
-405,528,-387
-405,760,-436
-464,847,-436
-464,847,-401
-813,847,-401
-813,-1011,613
38,561,-991
38,561,-991
-745,827,-991
-1142,827,-337
-1142,431,-654
-1249,431,-654
-1249,436,-520
-1318,415,-520
-1318,415,-68
-1167,415,-68
-1167,1736,-64
-1061,2364,-331
-1061,2364,-331
-1049,2096,-331
-1049,2096,-95
-567,1560,92
-600,1560,92
-600,1155,-397
-600,1155,-397
-321,719,-559
-465,719,-559
-465,-170,-473
420,-170,-473
420,-688,-313
420,-688,-313
-320,-471,-313
-320,-471,-334
-98,-221,-308
-98,-221,-308
-268,-246,276
-268,-246,276
124,-102,743
63,-102,743
63,952,710
-64,952,710
-64,1596,259
-470,2103,259
-470,2103,-975
-947,1800,-975
0,1800,-1678
0,946,-1435
0,946,-1435
-632,72,-1435
-296,72,-723
-296,346,-141
-681,346,-141
-681,714,90
-416,830,90
-416,830,194
-433,1128,194
-433,1128,50
-437,1287,-84
-437,1287,-84
-88,1247,-84
-88,1247,-177
-366,1247,-177
-366,1106,-154
-323,1106,-154
-323,879,-288
-223,771,-288
-223,771,-320
-189,771,-320
-189,672,-308
-412,712,-299
-412,712,-299
-308,778,-299
-308,778,-247
-245,751,-241
-393,751,-241
-393,863,-221
-393,863,-221
-340,934,-169
-430,934,-169
-430,919,-198
-352,919,-198
-352,868,-148
-342,836,-148
-342,836,-223
-294,813,-223
-316,813,-225
-316,841,-236
-316,841,-236
-278,802,-236
-278,802,-265
-304,802,-265
-304,825,-266
-341,825,-266
-341,823,-230
-330,835,-230
-330,835,-196
-341,856,-196
-323,856,-186
-323,828,-191
-323,828,-191
-363,826,-191
-368,826,-166
-368,794,-185
-373,794,-185
-373,802,-191
-377,725,-191
-377,725,-142
-351,765,-142
-351,765,-159
-331,826,-258
-331,826,-258
-378,833,-258
-378,833,-181
-427,973,-264
-478,973,-264
-478,976,-227
-478,976,-227
-392,1003,-225
-574,803,-225
-574,803,-23
-485,803,-23
-485,55,236
-485,55,236
-559,57,236
-559,57,150
-725,287,-39
-741,287,-39
-741,392,-240
-741,392,-240
-545,477,-358
-519,542,-358
-519,542,-334
-513,542,-334
-513,571,-270
-553,463,-270
-553,463,-265
-626,395,-265
-731,395,-239
-731,326,-230
-731,326,-230
-924,292,-67
-935,344,-67
-935,344,-166
-1022,344,-166
-1022,394,-247
-1107,389,-247
-1107,389,-274
-1193,372,-274
-1193,372,-263
-1257,387,-153
-1257,387,-153
-1329,404,-85
-1329,404,-85
-1354,450,-85
-1354,450,-134
-1386,450,-134
-1386,399,-173
-1301,298,-173
-1301,298,-207
-1280,262,-207
-1280,262,-210
-1207,302,-139
-1207,302,-139
-1168,352,-78
-1168,352,-78
-1116,347,-75
-1071,347,-75
-1071,317,-83
-1071,317,-83
-1031,329,-89
-989,339,-89
-989,339,-106
-1003,339,-106
-1003,313,-150
-1018,280,-141
-1018,280,-141
-1036,269,-141
-1031,269,-133
-1031,275,-102
-1031,275,-102
-1005,279,-82
-1005,279,-82
-976,283,-82
-976,283,-70
-940,283,-70
-940,264,-72
-942,244,-79
-942,244,-79
-968,239,-79
-984,239,-79
-984,209,-111
-984,209,-111
-1049,188,-129
